##comment,序号,文件名,阶段,类别,手心朝向,幅度,小分类-手势高度,单双手,是否循环,是否作用全身,
##type,int,string,gesture.Phase,gesture.Type,gesture.DirectionOfThePalm,gesture.Amplitude,gesture.Altitude,gesture.SingleAndDoubleHand,gesture.IsLoop,bool,
##var,id,file,phase,type,directionOfThePalm,amplitude,altitude,singleAndDoubleHand,isLoop,isFullBody,
,2034,stroke_metaphoric_shut_up_2034.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,SINGLE_RIGHT,0,,shut_up
,2035,stroke_metaphoric_cry_2035.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,TRUE,cry
,2036,stroke_metaphoric_awkward_2036.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,SINGLE_RIGHT,0,,awkward
,2037,stroke_metaphoric_angry_2037.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,angry
,2038,stroke_metaphoric_drama_2038.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,TRUE,drama
,2040,stroke_metaphoric_snigger_2040.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,snigger
,2041,stroke_metaphoric_happy_2041.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,SINGLE_RIGHT,0,,happy
,2043,stroke_metaphoric_tired_2043.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,tired
,2044,stroke_metaphoric_fuck_2044.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,SINGLE_RIGHT,0,TRUE,fuck
,2046,stroke_metaphoric_unlucky_2046.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,unlucky
,2047,stroke_metaphoric_sweat_2047.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,sweat
,2048,stroke_metaphoric_worry_2048.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,TRUE,worry
,2049,stroke_metaphoric_disdain_2049.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,SINGLE_RIGHT,0,,disdain
,2050,stroke_metaphoric_contempt_2050.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,TRUE,contempt
,2051,stroke_metaphoric_apologize_2051.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,apologize
,2055,stroke_metaphoric_laugh_2055.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,TRUE,laugh
,2056,stroke_metaphoric_speechless_2056.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,SINGLE_RIGHT,0,,speechless
,2057,stroke_metaphoric_yeah_2057.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,TRUE,yeah
,2058,stroke_metaphoric_gossip_2058.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,TRUE,gossip
,2059,stroke_metaphoric_wow_2059.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,wow
,2060,stroke_metaphoric_emm_2060.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,emm
,2061,stroke_metaphoric_respect_2061.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,respect
,2062,stroke_metaphoric_sigh_2062.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,sigh
,2064,stroke_metaphoric_mentality_collapse_2064.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,mentality_collapse
,2065,stroke_metaphoric_beat_2065.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,SINGLE_RIGHT,0,TRUE,beat
,2069,stroke_metaphoric_promise_2069.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,SINGLE_RIGHT,0,,promise
,2070,stroke_metaphoric_order_2070.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,SINGLE_RIGHT,0,,order
,2071,stroke_metaphoric_reply_2071.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,SINGLE_RIGHT,0,,reply
,2072,stroke_metaphoric_ask_2072.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,ask
,2073,stroke_metaphoric_complain1_2073.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,TRUE,complain1
,2074,stroke_metaphoric_poverty_2074.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,poverty
,2075,stroke_metaphoric_invite_2075.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,SINGLE_RIGHT,0,,invite
,2076,stroke_metaphoric_congratulate_2076.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,congratulate
,2077,stroke_metaphoric_not_care_2077.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,SINGLE_RIGHT,0,,not_care
,2078,stroke_metaphoric_shh_2078.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,SINGLE_RIGHT,0,TRUE,shh
,2079,stroke_metaphoric_sad_2079.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,sad
,2080,stroke_metaphoric_cute_2080.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,TRUE,cute
,2081,stroke_metaphoric_afraid_2081.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,TRUE,afraid
,2082,stroke_metaphoric_bye_2082.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,SINGLE_RIGHT,0,,bye
,2083,stroke_metaphoric_many_2083.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,many
,2084,stroke_metaphoric_less_2084.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,TRUE,less
,2085,stroke_metaphoric_far_2085.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,far
,2086,stroke_metaphoric_near_2086.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,near
,2087,stroke_metaphoric_progressive1_2087.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,SINGLE_LEFT,0,,progressive1
,2088,stroke_metaphoric_progressive2_2088.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,SINGLE_RIGHT,0,,progressive2
,2089,stroke_metaphoric_tied1_2089.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,tied1
,2090,stroke_metaphoric_tied2_2090.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,tied2
,2091,stroke_metaphoric_turning_point1_2091.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,SINGLE_LEFT,0,,turning_point1
,2092,stroke_metaphoric_turning_point2_2092.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,SINGLE_RIGHT,0,,turning_point2
,2093,stroke_metaphoric_undertake1_2093.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,undertake1
,2094,stroke_metaphoric_undertake2_2094.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,undertake2
,2095,stroke_metaphoric_undertake3_2095.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,undertake3
,2096,stroke_metaphoric_choose1_2096.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,choose1
,2097,stroke_metaphoric_choose2_2097.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,choose2
,2098,stroke_metaphoric_assumption1_2098.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,assumption1
,2099,stroke_metaphoric_assumption2_2099.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,assumption2
,2100,stroke_metaphoric_cause_and_effect1_2100.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,SINGLE_RIGHT,0,,cause_and_effect1
,2101,stroke_metaphoric_cause_and_effect2_2101.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,SINGLE_RIGHT,0,,cause_and_effect2
,2102,stroke_metaphoric_condition1_2102.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,SINGLE_RIGHT,0,,condition1
,2103,stroke_metaphoric_condition2_2103.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,condition2
